783.208	60.773	21.013	0.266
1101.458	85.646	21.367	0.228
1288.875	96.635	21.650	0.224
1299.120	76.953	21.968	0.218
1139.917	39.362	23.342	0.040
1719.250	42.002	23.692	0.023
1824.080	22.001	22.260	0.279
1634.125	21.749	22.342	0.230
1135.708	57.038	21.671	0.307
1547.667	40.798	22.271	0.278
1645.625	67.312	22.408	0.257
1633.042	117.557	22.450	0.240
1175.167	57.405	20.900	0.058
810.917	22.339	22.083	0.255
870.167	22.179	22.639	0.284
879.083	35.876	23.483	0.017
672.500	8.017	23.500	0.000
1140.750	78.647	23.483	0.078
1463.833	11.951	24.008	0.034
1333.000	36.674	24.158	0.015
1106.692	8.058	24.254	0.014
609.833	5.920	23.800	0.000
651.833	17.260	23.875	0.025
871.083	14.479	24.108	0.023
962.250	3.750	24.275	0.013
1141.250	86.135	23.833	0.081
1558.750	13.087	24.417	0.034
1630.250	7.986	24.600	0.000
1579.750	10.769	24.700	0.000
987.333	6.511	24.350	0.015
997.667	3.248	24.500	0.012
692.417	41.504	20.325	0.033
966.167	18.045	20.625	0.022
1367.750	53.463	21.008	0.062
1603.000	12.956	21.550	0.036
1120.333	33.685	21.450	0.040
1313.182	38.639	21.709	0.028
743.385	59.677	20.738	0.051
1160.667	24.720	21.133	0.026
1261.167	6.409	21.433	0.014
1217.000	4.995	21.582	0.012
1285.083	35.715	21.667	0.040
1450.250	6.533	21.958	0.019
862.000	60.288	23.717	0.068
1208.833	14.904	24.150	0.029
1390.667	69.954	22.921	0.355
1512.917	64.367	23.250	0.376
1222.583	29.262	23.279	0.374
1436.458	54.543	23.517	0.374
494.280	10.151	22.272	0.228
520.750	5.579	22.400	0.249
805.500	57.908	22.771	0.223
1002.875	84.583	23.125	0.192
780.875	38.182	23.054	0.229
662.417	7.622	24.383	0.017
856.750	63.962	23.304	0.231
872.083	96.531	23.342	0.143
875.792	75.845	22.517	0.051
1141.760	97.534	23.012	0.045
1071.333	102.091	23.221	0.030
800.875	69.429	23.154	0.012
617.958	33.994	23.092	0.053
647.292	34.674	23.275	0.059
519.333	2.123	23.742	0.015
511.417	3.862	23.817	0.011
799.083	47.736	22.292	0.118
970.917	20.684	23.167	0.047
875.833	18.272	23.542	0.040
903.000	21.057	23.950	0.044
518.417	6.127	23.817	0.021
518.500	6.896	23.958	0.015
605.333	21.569	23.867	0.014
686.538	10.209	23.954	0.014
1113.000	109.169	22.746	0.187
1531.000	10.063	23.867	0.043
1589.333	60.948	24.117	0.024
1688.750	50.064	24.308	0.015
662.167	4.350	23.075	0.022
656.833	3.235	22.950	0.015
704.500	54.095	22.700	0.044
1020.538	7.101	23.008	0.014
1481.250	64.531	23.325	0.051
1796.167	13.936	23.800	0.030
1553.667	23.299	23.808	0.034
1629.500	7.157	24.058	0.015
691.833	41.011	22.933	0.068
918.167	19.582	23.325	0.025
769.167	18.370	23.267	0.019
676.500	10.261	23.267	0.014
798.500	60.976	23.233	0.071
1268.083	28.434	23.717	0.024
1219.417	20.645	23.825	0.028
1369.500	37.830	24.092	0.019
699.400	38.221	21.844	0.129
796.400	38.779	22.252	0.151
627.042	27.891	22.129	0.127
552.542	15.120	22.050	0.102
888.417	50.831	22.554	0.046
1040.667	89.813	22.775	0.045
533.000	11.941	21.113	0.072
651.083	12.719	21.756	0.095
676.417	8.287	22.256	0.051
790.167	7.431	22.556	0.055
		22.000	0.000
		22.050	0.029
689.083	28.386	22.788	0.083
764.692	14.602	23.071	0.050
1097.208	53.839	22.150	0.113
1393.833	22.458	22.938	0.045
1350.957	31.849	23.157	0.029
1144.750	58.802	23.158	0.015
757.625	41.924	22.763	0.032
810.167	55.523	22.825	0.068
794.125	55.395	22.792	0.088
686.417	38.135	22.733	0.092
1120.000	80.648	22.075	0.126
1522.500	10.618	22.917	0.042
1492.250	21.090	23.217	0.017
1315.417	7.716	23.350	0.015
963.333	16.007	22.975	0.018
819.833	12.739	22.900	0.000
1080.071	36.202	23.157	0.047
1357.500	13.918	23.450	0.015
1161.000	68.796	22.833	0.069
1470.750	10.024	23.300	0.025
1360.167	27.789	23.483	0.011
1214.917	8.898	23.600	0.012
1298.667	30.758	23.367	0.019
1563.667	14.560	23.517	0.017
963.083	65.418	22.733	0.105
1150.750	70.751	23.000	0.129
565.417	5.363	21.900	0.000
560.917	3.607	21.958	0.015
1180.417	107.224	22.492	0.091
1739.500	29.222	23.192	0.038
1198.750	57.070	23.233	0.031
1826.417	37.691	23.492	0.019
1535.000	48.364	23.500	0.000
1192.083	14.351	23.475	0.013
519.417	15.420	21.900	0.041
619.417	9.062	22.233	0.019
962.000	45.568	22.708	0.060
1157.583	8.864	23.125	0.022
765.000	14.791	23.058	0.029
762.750	6.511	23.258	0.015
773.583	9.631	23.367	0.022
813.000	10.584	23.558	0.015
659.708	29.901	21.479	0.083
865.875	12.011	22.096	0.082
1151.958	89.259	22.479	0.063
1552.250	168.956	22.900	0.021
820.040	32.045	22.940	0.042
1082.792	25.363	23.242	0.042
489.875	15.615	21.500	0.045
556.750	7.859	21.871	0.041
762.167	40.624	22.383	0.045
969.375	51.791	22.796	0.033
973.375	39.163	23.058	0.035
987.333	48.605	23.304	0.028
630.667	13.640	23.008	0.033
626.792	24.053	22.967	0.021
740.750	40.702	22.379	0.145
846.042	34.368	22.729	0.158
783.542	27.274	22.808	0.157
908.000	39.699	23.125	0.075
622.680	6.439	23.024	0.084
561.583	3.961	23.100	0.077
523.458	7.954	23.104	0.081
509.750	12.258	22.913	0.127
441.083	4.284	21.725	0.022
501.583	4.490	22.025	0.022
511.250	10.696	22.558	0.015
441.917	1.769	22.525	0.013
587.333	19.620	22.675	0.030
687.455	6.816	22.864	0.015
875.000	58.267	22.017	0.131
1131.500	20.622	22.892	0.051
1207.667	14.536	23.308	0.019
936.583	56.049	23.350	0.042
625.083	17.921	23.192	0.029
624.083	11.980	23.350	0.015
661.250	13.176	23.483	0.024
626.583	6.432	23.592	0.008
559.000	19.047	22.283	0.027
742.417	12.629	22.567	0.019
1406.083	100.989	23.025	0.071
2008.250	27.597	23.642	0.031
1077.833	17.379	23.633	0.022
799.667	49.305	23.650	0.023
575.833	19.210	20.583	0.087
773.500	16.655	21.358	0.051
670.000	30.243	21.675	0.013
517.417	5.577	21.700	0.012
753.667	20.577	22.200	0.049
1015.833	23.900	22.617	0.024
938.333	20.420	22.858	0.036
796.333	17.125	23.083	0.011
1003.417	97.310	22.650	0.084
1310.125	141.628	23.063	0.117
507.250	5.107	22.092	0.034
513.250	6.252	22.050	0.036
915.792	33.399	23.063	0.067
998.083	24.029	23.504	0.015
785.750	64.988	22.958	0.086
1030.917	87.950	23.433	0.076
1037.167	78.022	23.600	0.070
787.130	26.611	23.461	0.020
829.958	27.196	23.625	0.038
897.167	49.678	23.825	0.012
920.000	79.361	23.879	0.038
941.750	92.499	23.921	0.069
414.250	2.280	22.067	0.014
457.167	5.039	22.192	0.023
739.167	69.939	22.963	0.133
906.000	98.706	23.217	0.166
610.333	26.878	23.267	0.075
628.167	23.512	23.438	0.050
652.250	29.614	23.471	0.048
495.522	7.246	23.404	0.026
